source,target,width,length,color,title
직원,처리,4.326618015766144,113.46763968467712,#4444ff,직원 ↔ 처리<br>유사도: 0.433
직원,개선,4.021250307559967,119.57499384880066,#4444ff,직원 ↔ 개선<br>유사도: 0.402
직원,지연,3.5993996262550354,128.0120074748993,#4444ff,직원 ↔ 지연<br>유사도: 0.360
직원,오류,3.264201581478119,134.71596837043762,#4444ff,직원 ↔ 오류<br>유사도: 0.326
직원,손상,2.9297083616256714,141.40583276748657,#4444ff,직원 ↔ 손상<br>유사도: 0.293
직원,환불,4.242824614048004,115.14350771903992,#4444ff,직원 ↔ 환불<br>유사도: 0.424
직원,교환,3.642480373382568,127.15039253234865,#4444ff,직원 ↔ 교환<br>유사도: 0.364
직원,수리,3.122972846031189,137.54054307937622,#4444ff,직원 ↔ 수리<br>유사도: 0.312
직원,반품,3.4480148553848267,131.03970289230347,#4444ff,직원 ↔ 반품<br>유사도: 0.345
직원,상품,4.37029629945755,112.594074010849,#4444ff,직원 ↔ 상품<br>유사도: 0.437
직원,제품,4.970077872276306,100.59844255447388,#4444ff,직원 ↔ 제품<br>유사도: 0.497
직원,실망,3.776567280292511,124.46865439414978,#4444ff,직원 ↔ 실망<br>유사도: 0.378
직원,불편,2.1482087671756744,157.0358246564865,#4444ff,직원 ↔ 불편<br>유사도: 0.215
고객,처리,4.723014831542969,105.53970336914062,#4444ff,고객 ↔ 처리<br>유사도: 0.472
고객,개선,2.7678555250167847,144.6428894996643,#4444ff,고객 ↔ 개선<br>유사도: 0.277
고객,지연,4.709760248661041,105.80479502677916,#4444ff,고객 ↔ 지연<br>유사도: 0.471
고객,오류,2.6101183891296387,147.79763221740723,#4444ff,고객 ↔ 오류<br>유사도: 0.261
고객,손상,3.3979156613349915,132.04168677330017,#4444ff,고객 ↔ 손상<br>유사도: 0.340
고객,환불,3.5374844074249268,129.25031185150146,#4444ff,고객 ↔ 환불<br>유사도: 0.354
고객,교환,4.862013459205627,102.75973081588744,#4444ff,고객 ↔ 교환<br>유사도: 0.486
고객,수리,4.209646582603455,115.80706834793092,#4444ff,고객 ↔ 수리<br>유사도: 0.421
고객,반품,3.715327382087708,125.69345235824584,#4444ff,고객 ↔ 반품<br>유사도: 0.372
고객,상품,4.979116916656494,100.41766166687012,#4444ff,고객 ↔ 상품<br>유사도: 0.498
고객,제품,4.120169878005981,117.59660243988036,#4444ff,고객 ↔ 제품<br>유사도: 0.412
고객,실망,3.9642488956451416,120.71502208709715,#4444ff,고객 ↔ 실망<br>유사도: 0.396
고객,불편,3.551822602748871,128.96354794502258,#4444ff,고객 ↔ 불편<br>유사도: 0.355
처리,개선,2.984606623649597,140.30786752700806,#4444ff,처리 ↔ 개선<br>유사도: 0.298
처리,지연,3.447638750076294,131.04722499847412,#4444ff,처리 ↔ 지연<br>유사도: 0.345
처리,손상,2.6000669598579407,147.9986608028412,#4444ff,처리 ↔ 손상<br>유사도: 0.260
처리,환불,3.653348684310913,126.93302631378174,#4444ff,처리 ↔ 환불<br>유사도: 0.365
처리,교환,3.3619150519371037,132.7616989612579,#4444ff,처리 ↔ 교환<br>유사도: 0.336
처리,수리,2.9405754804611206,141.1884903907776,#4444ff,처리 ↔ 수리<br>유사도: 0.294
처리,반품,3.251899480819702,134.96201038360596,#4444ff,처리 ↔ 반품<br>유사도: 0.325
처리,상품,3.404136896133423,131.91726207733154,#4444ff,처리 ↔ 상품<br>유사도: 0.340
처리,제품,3.860754370689392,122.78491258621216,#4444ff,처리 ↔ 제품<br>유사도: 0.386
처리,실망,3.3523550629615784,132.95289874076843,#4444ff,처리 ↔ 실망<br>유사도: 0.335
개선,지연,2.910337448120117,141.79325103759766,#4444ff,개선 ↔ 지연<br>유사도: 0.291
개선,오류,2.127954512834549,157.44090974330902,#4444ff,개선 ↔ 오류<br>유사도: 0.213
개선,손상,2.479672431945801,150.40655136108398,#4444ff,개선 ↔ 손상<br>유사도: 0.248
개선,환불,4.669999480247498,106.60001039505003,#4444ff,개선 ↔ 환불<br>유사도: 0.467
개선,교환,3.5894212126731877,128.21157574653623,#4444ff,개선 ↔ 교환<br>유사도: 0.359
개선,수리,3.8485008478164673,123.02998304367064,#4444ff,개선 ↔ 수리<br>유사도: 0.385
개선,반품,3.990585207939148,120.18829584121704,#4444ff,개선 ↔ 반품<br>유사도: 0.399
개선,상품,4.254472851753235,114.9105429649353,#4444ff,개선 ↔ 상품<br>유사도: 0.425
개선,제품,4.459528028964996,110.80943942070007,#4444ff,개선 ↔ 제품<br>유사도: 0.446
개선,실망,2.125119268894196,157.4976146221161,#4444ff,개선 ↔ 실망<br>유사도: 0.213
지연,오류,3.1228965520858765,137.54206895828247,#4444ff,지연 ↔ 오류<br>유사도: 0.312
지연,환불,3.4197157621383667,131.60568475723267,#4444ff,지연 ↔ 환불<br>유사도: 0.342
지연,교환,2.716144323348999,145.67711353302002,#4444ff,지연 ↔ 교환<br>유사도: 0.272
지연,수리,2.85093367099762,142.9813265800476,#4444ff,지연 ↔ 수리<br>유사도: 0.285
지연,반품,2.0892994105815887,158.21401178836825,#4444ff,지연 ↔ 반품<br>유사도: 0.209
지연,상품,3.424566388130188,131.50867223739624,#4444ff,지연 ↔ 상품<br>유사도: 0.342
지연,제품,2.894676923751831,142.10646152496338,#4444ff,지연 ↔ 제품<br>유사도: 0.289
지연,실망,2.511035203933716,149.77929592132568,#4444ff,지연 ↔ 실망<br>유사도: 0.251
지연,불편,2.8460344672203064,143.07931065559387,#4444ff,지연 ↔ 불편<br>유사도: 0.285
오류,환불,2.494523227214813,150.10953545570374,#4444ff,오류 ↔ 환불<br>유사도: 0.249
오류,교환,2.6268696784973145,147.4626064300537,#4444ff,오류 ↔ 교환<br>유사도: 0.263
