source,target,weight
포인트,어디인가요,0.9966386556625366
포인트,멤버십에,0.9962494373321532
포인트,결제를,0.9962220788002014
포인트,함께,0.9961660504341124
바랍니다,진행됩니다,0.996900200843811
바랍니다,작성하셔야,0.9966564178466796
해지는,않으셨기,0.9970049262046814
해지는,주의,0.9965052604675292
해지는,작성하셔야,0.9964669346809388
주의,보내드릴까요,0.9962720274925232
있을,할인받으실,0.9964666366577148
있을,확인하실,0.9964067935943604
알았어,보내드릴까요,0.9965396523475648
알았어,<DISCOUNT_CHARGE>원입니다,0.9961976408958436
알았어,내일,0.9961751103401184
사항을,보내드릴까요,0.9961534738540648
상태,좋아,0.996283233165741
상태,기간이,0.996253490447998
<STORAGE_AMOUNT>의,할인되나요,0.9964903593063354
<STORAGE_AMOUNT>의,<CHARGE>원,0.996303141117096
<STORAGE_AMOUNT>의,용량은,0.9962636828422546
보내드릴까요,오후로,0.9968156814575196
보내드릴까요,내일,0.9964796900749208
보내드릴까요,작성하셔야,0.9962927103042604
통화료는,사용료는,0.9963307976722716
통화료는,<DATA_PRICE>원,0.9963262677192688
설명,그래요,0.9967116713523864
설명,<VOICE_AMOUNT>,0.996296226978302
설명,청구된,0.9961752891540528
<DISCOUNT_CHARGE>원입니다,홈페이지나,0.9966961741447448
청구된,번,0.9969897866249084
청구된,설명해주세요,0.9963626265525818
여행,서류와,0.9966765642166138
여행,번,0.996536135673523
여행,함께,0.9963556528091432
음성통화도,많아서,0.9968013167381288
음성통화도,늘어서,0.996492862701416
음성통화도,<DATA_PRICE>원입니다,0.9964662790298462
접수해,어디인가요,0.9962313771247864
직영점이나,제휴,0.997742235660553
직영점이나,어디로,0.9963811635971068
쓸,좋아,0.9962893724441528
함께,멤버십에,0.9963880777359008
함께,서류와,0.996312141418457
함께,거야,0.9961668252944946
<DATA_PRICE>원입니다,많아서,0.9963154792785645
늘어서,나오셨습니다,0.9968159794807434
늘어서,많아서,0.9963984489440918
늘어서,이런,0.9962888956069946
이런,많아서,0.9963145852088928
홈페이지나,줄,0.9961847066879272
CU,<DATA>입니다,0.9968794584274292
CU,아이폰,0.9963180422782898
CU,GS25,0.9962470531463624
CU,카드를,0.9961654543876648
CU,<CHARGE>원,0.9961562752723694
동안,기간이,0.9965547323226928
줄여야,할인해,0.9963816404342652
줄여야,젠장,0.996212601661682
방식에,번,0.9962787628173828
설명해주세요,서류와,0.9963043332099916
어디인가요,좋아,0.9962668418884276
할인되나요,용량은,0.996607780456543
수고하세요,없어요,0.996848464012146
젠장,할인해,0.996499478816986
일부,도움이,0.9961754679679872
많아서,나오셨습니다,0.9965429306030272
일본이야,할인율이,0.996407985687256
확인하실,최대,0.996687948703766
<DATA_PRICE>원,사용료는,0.9972630739212036
어디로,제휴,0.9966389536857604
싸지는데요,번,0.9964155554771424
결제를,서류와,0.9961458444595336
없어요,내일,0.99673193693161
내일,줄,0.9964857697486876
번,거야,0.9970299005508424
번,<CHARGE>원,0.9964767694473268
번,서류와,0.9963551759719848
아이폰,<DATA>입니다,0.996271312236786
받고,거야,0.9961917996406556
거야,<CHARGE>원,0.9964187741279602
<CHARGE>원,GS25,0.9964863657951356
좋아,기간이,0.9964730739593506
좋아,보내주시면,0.9963494539260864
